wave,flux,unc
1.05928,1.01E-11,1.55E-13
1.05955,1.04E-11,1.49E-13
1.05982,1.01E-11,1.51E-13
1.06009,1.00E-11,2.16E-13
1.06035,1.02E-11,2.98E-13
1.06062,1.04E-11,2.79E-13
1.06089,1.04E-11,2.10E-13
1.06116,1.03E-11,2.17E-13
1.06143,9.83E-12,2.70E-13
1.0617,9.62E-12,2.87E-13
1.06197,9.72E-12,2.78E-13
1.06224,1.02E-11,2.88E-13
1.06251,1.06E-11,2.71E-13
1.06278,1.05E-11,2.39E-13
1.06305,1.01E-11,2.27E-13
1.06332,1.01E-11,2.05E-13
1.06358,1.05E-11,2.22E-13
1.06385,1.10E-11,2.45E-13
1.06412,1.09E-11,2.28E-13
1.06439,1.09E-11,2.43E-13
1.06466,1.09E-11,2.81E-13
1.06493,1.09E-11,2.86E-13
1.0652,1.02E-11,3.00E-13
1.06547,1.02E-11,3.51E-13
1.06574,1.04E-11,3.78E-13
1.06601,1.06E-11,3.44E-13
1.06628,1.01E-11,3.08E-13
1.06655,1.00E-11,2.53E-13
1.06681,1.01E-11,2.10E-13
1.06708,1.04E-11,2.28E-13
1.06735,1.03E-11,2.69E-13
1.06762,1.02E-11,2.93E-13
1.06789,1.05E-11,3.09E-13
1.06816,1.11E-11,3.21E-13
1.06843,1.13E-11,2.91E-13
1.0687,1.14E-11,3.04E-13
1.06897,1.16E-11,3.59E-13
1.06924,1.16E-11,3.79E-13
1.06951,1.14E-11,3.60E-13
1.06977,1.10E-11,3.00E-13
1.07004,1.07E-11,2.77E-13
1.07031,1.06E-11,2.67E-13
1.07058,1.06E-11,2.32E-13
1.07085,1.05E-11,2.56E-13
1.07112,1.05E-11,2.74E-13
1.07139,1.08E-11,2.37E-13
1.07166,1.09E-11,2.13E-13
1.07193,1.08E-11,2.42E-13
1.0722,1.11E-11,2.28E-13
1.07247,1.16E-11,2.04E-13
1.07273,1.17E-11,2.17E-13
1.073,1.15E-11,2.44E-13
1.07327,1.17E-11,2.94E-13
1.07354,1.16E-11,3.43E-13
1.07381,1.17E-11,3.44E-13
1.07408,1.15E-11,2.75E-13
1.07435,1.17E-11,2.14E-13
1.07462,1.16E-11,1.98E-13
1.07489,1.19E-11,1.98E-13
1.07516,1.19E-11,2.45E-13
1.07542,1.20E-11,2.94E-13
1.07569,1.17E-11,3.13E-13
1.07596,1.19E-11,3.16E-13
1.07623,1.19E-11,3.20E-13
1.0765,1.19E-11,3.24E-13
1.07677,1.15E-11,2.89E-13
1.07704,1.15E-11,2.69E-13
1.07731,1.18E-11,2.66E-13
1.07758,1.17E-11,2.60E-13
1.07785,1.12E-11,2.97E-13
1.07811,1.09E-11,2.97E-13
1.07838,1.12E-11,2.66E-13
1.07865,1.09E-11,2.36E-13
1.07892,1.05E-11,2.37E-13
1.07919,1.02E-11,2.67E-13
1.07946,1.03E-11,2.63E-13
1.07973,1.05E-11,2.64E-13
1.08,1.09E-11,2.78E-13
1.08027,1.09E-11,2.71E-13
1.08054,1.10E-11,2.57E-13
1.0808,1.11E-11,2.50E-13
1.08107,1.15E-11,2.93E-13
1.08134,1.19E-11,3.40E-13
1.08161,1.21E-11,3.17E-13
1.08188,1.20E-11,3.12E-13
1.08215,1.20E-11,3.74E-13
1.08242,1.18E-11,4.01E-13
1.08269,1.16E-11,3.51E-13
1.08296,1.18E-11,3.16E-13
1.08323,1.20E-11,3.01E-13
1.08349,1.20E-11,2.93E-13
1.08376,1.22E-11,2.83E-13
1.08403,1.21E-11,2.39E-13
1.0843,1.19E-11,2.55E-13
1.08457,1.18E-11,2.94E-13
1.08484,1.16E-11,2.81E-13
1.08511,1.15E-11,2.68E-13
1.08538,1.14E-11,2.86E-13
1.08565,1.20E-11,2.81E-13
1.08591,1.22E-11,2.65E-13
1.08618,1.23E-11,3.02E-13
1.08645,1.19E-11,3.27E-13
1.08672,1.17E-11,3.11E-13
1.08699,1.15E-11,3.05E-13
1.08726,1.16E-11,3.32E-13
1.08753,1.20E-11,3.61E-13
1.0878,1.20E-11,3.31E-13
1.08807,1.21E-11,2.70E-13
1.08834,1.18E-11,2.38E-13
1.0886,1.17E-11,3.11E-13
1.08887,1.13E-11,3.61E-13
1.08914,1.14E-11,2.96E-13
1.08941,1.11E-11,2.32E-13
1.08968,1.10E-11,2.28E-13
1.08995,1.12E-11,2.19E-13
1.09022,1.15E-11,3.00E-13
1.09049,1.19E-11,4.00E-13
1.09076,1.19E-11,3.98E-13
1.09102,1.16E-11,3.13E-13
1.09129,1.09E-11,2.33E-13
1.09156,1.11E-11,2.15E-13
1.09183,1.12E-11,2.58E-13
1.0921,1.12E-11,3.05E-13
1.09237,1.16E-11,3.22E-13
1.09264,1.19E-11,3.79E-13
1.09291,1.12E-11,4.59E-13
1.09318,1.04E-11,3.92E-13
1.09344,1.02E-11,2.86E-13
1.09371,1.04E-11,2.84E-13
1.09398,1.03E-11,2.89E-13
1.09425,1.06E-11,2.77E-13
1.09452,1.04E-11,2.89E-13
1.09479,1.01E-11,3.12E-13
1.09506,9.74E-12,3.28E-13
1.09533,1.01E-11,3.19E-13
1.09559,9.64E-12,2.93E-13
1.09586,9.17E-12,2.70E-13
1.09613,9.01E-12,2.95E-13
1.0964,1.02E-11,3.20E-13
1.09667,1.08E-11,3.18E-13
1.09694,1.06E-11,3.01E-13
1.09721,9.47E-12,3.08E-13
1.09748,8.99E-12,3.06E-13
1.09775,9.12E-12,2.82E-13
1.09801,9.78E-12,2.51E-13
1.09828,1.03E-11,2.40E-13
1.09855,1.01E-11,2.49E-13
1.09882,9.24E-12,2.64E-13
1.09909,8.61E-12,2.68E-13
